"id","name_old_verbatim","name_old_clean","name_new","geo_long","geo_lat"
"49","De L' Echaudé Saint Germain","Rue De L' Echaudé-saint-germain","Rue De L' Échaudé","2.33608","48.8539"
"50","De L' Echelle","Rue De L' Echelle","Rue De L' Échelle","2.33399","48.8635"
"51","De L' Echiquier","Rue De L' Echiquier","Rue De L' Échiquier","2.35043","48.8715"
"52","Des Poissonniers","Rue Des Poissonniers","Rue Des Poissonniers","2.35111","48.8878"
"53","De L' Ecole De Médecine","Rue De L' Ecole De Médecine","Rue De L' École De Médecine","2.341","48.8509"
"54","De L' Ecole De Médecine","Rue De L' Ecole-de-médecine","Rue De L' École De Médecine","2.341","48.8509"
"55","De L' Egoût Saint Germain","Rue De L' Egoût-saint-germain","Rue De Rennes","2.32921","48.8495"
"56","De L' Entrepôt","Rue De L' Entrepôt","Rue Yves-toudic","2.36389","48.8697"
"57","De L' Eperon","Rue De L' Eperon","Rue De L' Éperon","2.34066","48.8527"
"58","De Rochechouart","Boulevard De Rochechouart","Boulevard Marguerite-de-rochechouart","2.34305","48.8826"
"59","De L' Hôtel Colbert","Rue De L' Hôtel-colbert","Rue De L' Hôtel-colbert","2.34901","48.8518"
"60","De L' Isly","Rue De L' Isly","Rue De L' Isly","2.32582","48.8748"
"61","De L' Odéon","Rue De L' Odéon","Rue De L' Odéon","2.33869","48.8509"
"62","De L' Ouest","Rue De L' Ouest","Rue De L' Ouest","2.31713","48.8349"
"63","Ferme","Ferme",NULL,"0","0"
"64","Des Batignolles Monceaux","Boulevard Des Batignolles-monceaux","Boulevard Des Batignolles","2.32157","48.8822"
"65","De La Chapelle Saint Denis","Boulevard De La Chapelle-saint-denis","Boulevard De La Chapelle","2.35917","48.8842"
"66","Des Vertus","Boulevard Des Vertus","Boulevard De La Chapelle","2.35917","48.8842"
"67","De L' Université","Rue De L' Université","Rue De L' Université","2.31594","48.8609"
"68","D' Allemagne","Rue D' Allemagne","Avenue Jean Jaurès","2.38337","48.8862"
"69","De La Banque","Rue De La Banque","Rue De La Banque","2.34103","48.8681"
"70","D' Antin","Rue D' Antin","Rue Biot","2.32563","48.8848"
"71","De La Barillerie","Rue De La Barillerie","Boulevard Du Palais","2.34577","48.8552"
"72","De La Bibliothèque","Rue De La Bibliothèque","Rue De Rivoli","2.35367","48.8569"
"73","De La Bienfaisance","Rue De La Bienfaisance","Rue De La Bienfaisance","2.31704","48.8766"
"74","De La Boucherie Des Invalides","Rue De La Boucherie-des-invalides","Rue Surcouf","2.3094","48.8613"
"75","De La Bourse","Rue De La Bourse","Rue De La Bourse","2.33963","48.8695"
"76","De La Calandre","Rue De La Calandre",NULL,"0","0"
"77","De La Cerisaie","Rue De La Cerisaie","Rue De La Cerisaie","2.36615","48.8519"
"78","De La Chaise","Rue De La Chaise",NULL,"0","0"
"79","De La Chaussée D' Antin","Rue De La Chaussée D' Antin","Rue De La Chaussée D' Antin","2.33278","48.8739"
"80","De La Chaussée Des Minimes","Rue De La Chaussée Des Minimes","Rue De Béarn","2.36618","48.8573"
"81","De La Chaussée Clignancourt","Rue De La Chaussée-clignancourt","Rue De Clignancourt","2.3475","48.8858"
"83","De Marseille Prolongée","Rue De Marseille Prolongée","Rue De Crimée","2.38174","48.8863"
"84","Des Couronnes","Rue Des Couronnes","Rue Polonceau","2.3535","48.8856"
"85","De La Clef","Rue De La Clef","Rue De La Clef","2.35261","48.8413"
"86","De La Comète","Rue De La Comète","Rue De La Comète","2.30906","48.8591"
"87","De La Cossonnerie","Rue De La Cossonnerie","Rue De La Cossonnerie","2.3488","48.8614"
"88","De La Culture Sainte Catherine","Rue De La Culture-sainte-catherine","Rue Elzévir","2.36156","48.8584"
"90","De La Douane","Rue De La Douane","Rue Léon-jouhaux","2.36451","48.8692"
"91","De Meaux","Rue De Meaux","Rue De Meaux","2.37591","48.8829"
"92","De La Ferme Des Mathurins","Rue De La Ferme-des-mathurins","Rue Vignon","2.32612","48.8707"
"93","De La Fidélité","Rue De La Fidélité","Rue De La Fidélité","2.35625","48.8745"
"94","De La Folie Méricourt","Rue De La Folie-méricourt","Rue De La Folie-méricourt","2.37095","48.8651"
"95","De La Fontaine Au Roi","Rue De La Fontaine-au-roi","Rue De La Fontaine-au-roi","2.37419","48.8683"
"96","De La Fontaine Du Temple","Rue De La Fontaine-du-temple","Rue Des Fontaines-du-temple","2.35906","48.8657"
"98","De La Fontaine Molière","Rue De La Fontaine-molière","Rue Molière","2.33639","48.8653"
"99","Cité De L' Union","Cité De L' Union","Cité De L' Union","0","0"
"100","De La Fontaine Saint Georges","Rue De La Fontaine-saint-georges","Rue Pierre-fontaine","2.33404","48.8817"
"101","Cité De L' Etoile","Cité De L' Etoile","Avenue Carnot","2.29288","48.8762"
"102","De La Gare","Rue De La Gare",NULL,"0","0"
"103","De La Grande Chaumière","Rue De La Grande-chaumière","Rue De La Grande Chaumière","2.33085","48.8423"
"104","De La Grande Truanderie","Rue De La Grande-truanderie","Rue De La Grande-truanderie","2.34973","48.8626"
"105","De La Grange Aux Belles","Rue De La Grange-aux-belles","Rue De La Grange-aux-belles","2.36751","48.8754"
"106","Blanche","Boulevard Blanche",NULL,"0","0"
"107","De La Grange Batelière","Rue De La Grange-batelière","Rue De La Grange-batelière","2.34169","48.8731"
"108","De Rouen","Rue De Rouen","Rue De Rouen","2.37464","48.8875"
"109","Du Boulevard","Rue Du Boulevard","Rue Darcet","2.32482","48.884"
"110","De La Harpe","Rue De La Harpe","Rue De La Harpe","2.34444","48.8522"
"111","De La Huchette","Rue De La Huchette","Rue De La Huchette","2.34528","48.8531"
"112","De La Jussienne","Rue De La Jussienne","Rue De La Jussienne","2.3439","48.8657"
"113","De La Madeleine","Rue De La Madeleine","Rue Pasquier","2.3235","48.8728"
"114","De La Michodière","Rue De La Michodière","Rue De La Michodière","2.33482","48.8704"
"115","Des Trois Frères","Rue Des Trois-frères","Rue Des Trois-frères","2.34093","48.8848"
"116","De La Monnaie","Rue De La Monnaie","Rue De La Monnaie","2.34299","48.8593"
"117","Des Poissonniers","Boulevard Des Poissonniers","Boulevard Marguerite-de-rochechouart","2.34305","48.8826"
"118","De La Muette","Rue De La Muette","Rue Léon-frot","2.38541","48.8568"
"119","De La Paix","Rue De La Paix","Rue De La Paix","2.33113","48.8691"
"120","De La Parchemmerie","Rue De La Parchemmerie","Rue De La Parcheminerie","2.34493","48.8517"
"121","De La Pépinière","Rue De La Pépinière","Rue De La Pépinière","2.32187","48.8751"
"122","De La Perle","Rue De La Perle","Rue De La Perle","2.36106","48.8598"
"123","De La Poterie Des Arcis","Rue De La Poterie-des-arcis","Rue Du Renard","2.35275","48.8599"
"124","De La Roquette","Rue De La Roquette","Rue De La Roquette","2.37837","48.8569"
"125","Rochechouart","Boulevard Rochechouart","Boulevard Marguerite-de-rochechouart","2.34305","48.8826"
"126","De La Santé","Rue De La Santé","Rue De La Santé","2.34117","48.8324"
"127","De La Sourdière","Rue De La Sourdière","Rue De La Sourdière","2.33278","48.8667"
"128","De La Tonnellerie","Rue De La Tonnellerie",NULL,"0","0"
"129","De La Tour D' Auvergne","Rue De La Tour D' Auvergne","Rue Louise-émilie-de-la-tour-d'auvergne","2.34245","48.8794"
"130","De La Verrerie","Rue De La Verrerie","Rue De La Verrerie","2.3536","48.8577"
"131","De La Victoire","Rue De La Victoire","Rue De La Victoire","2.33521","48.8752"
"132","De L' Estrade","Place De L' Estrade",NULL,"0","0"
"133","De Ponthieu","Rue De Ponthieu","Rue De Ponthieu","2.30762","48.8713"
"134","De La Vieille Monnaie","Rue De La Vieille-monnaie",NULL,"0","0"
"135","De La Vieille Aux Veaux","Rue De La Vieille-place-aux-veaux","Place Du Châtelet","2.34722","48.8575"
"136","De La Ville L' Evêque","Rue De La Ville L' Evêque","Rue De La Ville-l' Évèque","2.32088","48.8713"
"138","De Grenelle Saint Germain","Rue De Grenelle-saint-germain","Rue De Grenelle","2.31782","48.8575"
"139","De La Mégisserie","Rue De La Mégisserie","Quai De La Mégisserie","2.34454","48.8579"
"140","De Castiglione","Rue De Castiglione","Rue De Castiglione","2.32818","48.8662"
"141","De Babylone","Rue De Babylone","Rue De Babylone","2.32128","48.8517"
"142","De Bagneux","Rue De Bagneux","Rue Jean-ferrandi","2.32352","48.8468"
"143","De Clichy","Rue De Clichy","Rue De Clichy","2.32906","48.88"
"144","De Beaujolais","Rue De Beaujolais","Rue De Beaujolais","2.33858","48.8661"
"145","De Beaune","Rue De Beaune","Rue De Beaune","2.32948","48.8582"
"146","De Beautreillis","Rue De Beautreillis","Rue Beautreillis","2.36391","48.8532"
"147","De Bellechasse","Rue De Bellechasse","Rue De Bellechasse","2.32243","48.8578"
"148","De Bercy Saint Antoine","Rue De Bercy Saint-antoine","Rue De Bercy","2.37703","48.8417"
"149","De Laborde","Rue De Laborde","Rue De Laborde","2.3173","48.8755"
"150","De Bièvre","Rue De Bièvre","Rue De Bièvre","2.35025","48.8505"
"151","De Bondy","Rue De Bondy","Rue René-boulanger","2.35917","48.8688"
"152","De Boulogne","Rue De Boulogne","Rue Ballu","2.32991","48.8819"
"153","De Bourbon Villeneuve","Rue De Bourbon-villeneuve","Rue D' Aboukir","2.34718","48.8678"
"154","Royale Saint Honoré","Rue Royale-saint-honoré","Rue Royale","2.32306","48.8681"
"155","De Bourgogne","Rue De Bourgogne","Rue De Bourgogne","2.31767","48.8582"
"156","Du Faubourg Saint Honoré","Rue Du Faubourg Saint-honoré","Rue Du Faubourg-saint-honoré","2.31839","48.8699"
"157","De Braque","Rue De Braque","Rue De Braque","2.35678","48.8609"
"158","De Bretagne","Rue De Bretagne","Rue De Bretagne","2.36233","48.863"
"159","Saint Lazare","Rue Saint-lazare","Rue Saint-lazare","2.33043","48.8761"
"160","De Bussy","Rue De Bussy","Rue De Buci","2.33716","48.8538"
"161","Neuve Des Mathurins","Rue Neuve-des- Mathurins","Rue Des Mathurins","2.32595","48.8732"
"162","De Castellane","Rue De Castellane","Rue De Castellane","2.32506","48.8723"
"163","Duphot","Rue Duphot","Rue Duphot","2.32551","48.8685"
"164","De Caumartin","Rue De Caumartin","Rue De Caumartin","2.32824","48.8725"
"165","De L' Oratoire Du Roule","Rue De L' Oratoire-du-roule","Rue Washington","2.30298","48.8731"
"166","De Mogador","Rue De Mogador","Rue De Mogador","2.33136","48.8752"
"167","De Chabrol","Rue De Chabrol","Rue De Chabrol","2.3535","48.8769"
"168","De Chaillot","Rue De Chaillot","Rue De Chaillot","2.29725","48.8671"
"169","De Charenton","Rue De Charenton","Rue De Charenton","2.37139","48.8522"
"170","De Charonne","Rue De Charonne","Rue De Charonne","2.38431","48.8545"
"171","De Chartres Du Roule","Rue De Chartres-du-roule","Rue De Courcelles","2.30103","48.8813"
"172","De Chevreuse","Rue De Chevreuse","Rue De Chevreuse","2.33153","48.8418"
"173","De Choiseul","Rue De Choiseul","Rue De Choiseul","2.33597","48.8706"
"174","Saint Florentin","Rue Saint -florentin","Rue Saint-florentin","2.32447","48.8678"
"175","De La Madeleine","Boulevard De La Madeleine","Boulevard De La Madeleine","2.32649","48.8697"
"176","De Cléry","Rue De Cléry","Rue De Cléry","2.34778","48.8685"
"177","De Miroménil","Rue De Miroménil","Rue De Miromesnil","2.3157","48.876"
"178","Du Rocher","Rue Du Rocher","Rue Du Rocher","2.32012","48.878"
"179","De Cotte","Rue De Cotte","Rue De Cotte","2.37764","48.8494"
"180","De Courcelles","Rue De Courcelles","Rue De Courcelles","2.30103","48.8813"
"181","De Crussol","Rue De Crussol","Rue De Crussol","2.36816","48.8642"
"182","De Damiette","Rue De Damiette","Rue De Damiette","2.34844","48.8678"
"183","Du Colysée","Rue Du Colysée","Rue Du Colysée","2.30968","48.8713"
"184","Du Faubourg Saint Antoine","Rue Du Faubourg Saint-antoine","Rue Du Faubourg-saint-antoine","2.38155","48.8504"
"185","De Flandre","Rue De Flandre","Avenue De Flandre","2.37514","48.8892"
"186","De Fleurus","Rue De Fleurus","Rue De Fleurus","2.32925","48.847"
"187","De Grammont","Rue De Grammont","Rue De Gramont","2.3368","48.8698"
"188","De La Madeleine","Place De La Madeleine","Place De La Madeleine","2.325","48.8708"
"189","De Grenelle","Rue De Grenelle","Rue De Lourmel","2.28751","48.8451"
"190","De Berlin","Rue De Berlin","Rue De Liège","2.3263","48.8795"
"191","Saint Nicolas D' Antin","Rue Saint-nicolas-d' Antin","Rue De Provence","2.33627","48.8742"
"192","De Grenelle Saint Honoré","Rue De Grenelle-saint-honoré","Rue Jean-jacques-rousseau","2.34391","48.8642"
"193","De Harlay Du Palais","Rue De Harlay-du-palais","Rue De Harlay","2.34307","48.8564"
"194","De Jarente","Rue De Jarente","Rue De Jarente","2.36289","48.8557"
"195","De Jeannisson","Rue De Jeannisson","Place André-malraux","2.33528","48.8638"
"196","De Jérusalem","Rue De Jérusalem",NULL,"0","0"
"197","De Jouy","Rue De Jouy","Rue De Jouy","2.35807","48.855"
"198","Du Havre","Place Du Havre","Place Du Havre","2.32667","48.8756"
"199","De La Rochefoucauld","Rue De La Rochefoucauld","Rue De La Rochefoucauld","2.33495","48.8796"
"200","De Lancry","Rue De Lancry","Rue De Lancry","2.36227","48.8717"
"201","De Lappe","Rue De Lappe","Rue De Lappe","2.37297","48.8536"
"202","De Laval","Rue De Laval","Rue Victor-massé","2.33884","48.8807"
"203","De Lavoisier","Rue De Lavoisier","Rue Lavoisier","2.32117","48.8738"
"204","De Lesdiguières","Rue De Lesdiguières","Rue De Lesdiguières","2.36697","48.8531"
"205","De Lille","Rue De Lille","Rue De Lille","2.32618","48.8596"
"206","Neuve Des Capucines","Rue Neuve-des-capucines","Rue Des Capucines","2.32911","48.8691"
"207","Des Capucines","Boulevard Des Capucines","Boulevard Des Capucines","2.33361","48.8711"
"208","Jean Goujon","Rue Jean-goujon","Rue Jean-goujon","2.30605","48.8657"
"209","De Limoges","Rue De Limoges","Rue Debelleyme","2.36325","48.8616"
"210","De Londres","Rue De Londres","Rue De Londres","2.32773","48.8776"
"211","De Lourcine","Rue De Lourcine","Rue Broca","2.34737","48.8377"
"212","De Louvois","Rue De Louvois","Rue De Louvois","2.33712","48.8683"
"213","De Luxembourg","Rue De Luxembourg","Rue Cambon","2.32704","48.8686"
"214","De Lyon","Rue De Lyon","Rue De Lyon","2.37079","48.8493"
"215","De Malte","Rue De Malte","Rue De Malte","2.36767","48.8659"
"216","De Marivaux","Rue De Marivaux","Rue De Marivaux","2.33754","48.8711"
"217","De Marivaux Italiens","Rue De Marivaux-italiens","Rue De Marivaux","2.33754","48.8711"
"219","De Mazagran","Rue De Mazagran","Rue De Mazagran","2.35161","48.8706"
"220","De Ménilmontant","Rue De Ménilmontant","Rue Oberkampf","2.37633","48.8654"
"221","De Montaigne","Avenue De Montaigne","Avenue Montaigne","2.30611","48.8667"
"222","De Mezières","Rue De Mézières","Rue De Mézières","2.33135","48.8503"
"223","De Milan","Rue De Milan","Rue De Milan","2.32831","48.8788"
"225","De Montaigne","Rue De Montaigne","Rue Jean-mermoz","2.31172","48.8711"
"226","De Suresne","Rue De Suresne","Rue De Suresne","2.32054","48.871"
"227","De Montfaucon","Rue De Montfaucon","Rue De Montfaucon","2.33589","48.8527"
"228","De Montholon","Rue De Montholon","Rue De Montholon","2.34507","48.8765"
"229","De Montmartre","Rue De Montmartre","Rue Montmartre","2.3439","48.8676"
"230","De Montmorency","Rue De Montmorency","Rue De Montmorency","2.355","48.8631"
"231","De Montpensier","Rue De Montpensier","Rue De Montpensier","2.33697","48.8651"
"232","De Moscou","Rue De Moscou","Rue De Moscou","2.32413","48.8809"
"233","De Mulhouse","Rue De Mulhouse","Rue De Mulhouse","2.34702","48.8686"
"234","De Navarin","Rue De Navarin","Rue De Navarin","2.33893","48.8796"
"235","De Paradis Au Marais","Rue De Paradis-au-marais","Rue Des Francs-bourgeois","2.36222","48.8571"
"236","De Paradis Poissonnière","Rue De Paradis-poissonnière","Rue De Paradis","2.35147","48.8752"
"237","Carré Des Champs Elysées","Carré-des-champs-elysées","Avenue Des Champs-élysées","2.30786","48.8697"
"238","De Parme","Rue De Parme","Rue De Parme","2.32776","48.8813"
"239","De Penthièvre","Rue De Penthièvre","Rue De Penthièvre","2.31548","48.8728"
"240","De Poissy","Rue De Poissy","Rue De Poissy","2.35259","48.8492"
"241","De Poitou","Rue De Poitou","Rue De Poitou","2.36292","48.8615"
"242","Tronchet","Rue Tronchet","Rue Tronchet","2.32606","48.8722"
"243","De Port Mahon","Rue De Port-mahon","Rue De Port-mahon","2.33401","48.8697"
"244","De Provence","Rue De Provence","Rue De Provence","2.33627","48.8742"
"245","Godot","Rue Godot","Rue Godot-de-mauroy","2.32718","48.8717"
"246","De Quincampoix","Rue De Quincampoix","Rue Quincampoix","2.35042","48.8609"
"247","De Rambouillet","Rue De Rambouillet","Rue De Rambouillet","2.3798","48.8436"
"248","De Reuilly","Rue De Reuilly","Rue De Reuilly","2.38961","48.8448"
"249","De Richelieu","Rue De Richelieu","Rue De Richelieu","2.33837","48.868"
"250","Tivoli","Rue Tivoli","Rue D' Athènes","2.32865","48.878"
"251","De Rivoli","Rue De Rivoli","Rue De Rivoli","2.35367","48.8569"
"252","Bizet","Rue Bizet","Rue Georges Bizet","2.29731","48.8675"
"253","De Rochechouart","Rue De Rochechouart","Rue Marguerite-de-rochechouart","2.34616","48.8799"
"254","Fontaine Saint Georges","Rue Fontaine-saint-georges","Rue Pierre-fontaine","2.33404","48.8817"
"255","De Rumfort","Rue De Rumfort","Boulevard Malesherbes","2.31387","48.8798"
"256","De Valois","Galerie De Valois","Galerie De Valois","2.33797","48.8641"
"257","De Saint Quentin","Rue De Saint-quentin","Rue De Saint-quentin","2.35563","48.8784"
"258","De Valois","Rue De Valois","Rue De Valois","2.33832","48.8642"
"259","Du Helder","Rue Du Helder","Rue Du Helder","2.33494","48.8719"
"260","De Saintonge","Rue De Saintonge","Rue De Saintonge","2.36389","48.863"
"261","De Sartine","Rue De Sartine",NULL,"0","0"
"262","De Savoie","Rue De Savoie","Rue De Savoie","2.34144","48.8543"
"263","De Seine","Rue De Seine","Rue De Seine","2.33694","48.8542"
"264","Bergère","Rue Bergère","Rue Bergère","2.34519","48.8724"
"265","Poissonnière","Boulevard Poissonière","Boulevard Poissonnière","2.34538","48.8711"
"266","Blanche","Rue Blanche","Rue Blanche","2.33142","48.8805"
"267","Des Italiens","Boulevard Des Italiens","Boulevard Des Italiens","2.337","48.8714"
"268","Notre Dame De Lorette","Rue Notre-dame-de-lorette","Rue Notre-dame-de-lorette","2.33639","48.8794"
"269","De Seine Saint Germain","Rue De Seine-saint-germain","Rue De Seine","2.33694","48.8542"
"270","De Sèvres","Rue De Sèvres","Rue De Sèvres","2.32097","48.8486"
"271","Palais Royal","Palais-royal","Galerie De Valois","2.33797","48.8641"
"272","Saint Marc","Rue Saint-marc","Rue Saint-marc","2.34142","48.8703"
"273","Richer","Rue Richer","Rue Richer","2.3454","48.8705"
"274","Laffitte","Rue Laffitte","Rue Laffitte","2.33796","48.8739"
"275","Du Temple","Rue Du Temple","Rue Du Temple","2.35657","48.8616"
"276","De Thorigny","Rue De Thorigny","Rue De Thorigny","2.36293","48.8598"
"277","De Tournon","Rue De Tournon","Rue De Tournon","2.33719","48.8504"
"278","De Tracy","Rue De Tracy","Rue De Tracy","2.35325","48.868"
"279","De Trévise","Rue De Trévise","Rue De Trévisse","2.34529","48.8738"
"280","Buffault","Rue Buffault","Rue Buffault","2.34227","48.8761"
"281","De Valence","Rue De Valence","Rue De Valence","2.34997","48.838"
"282","De Vannes","Rue De Vannes",NULL,"0","0"
"283","Geoffroy Marie","Rue Geoffroy-marie","Rue Geoffroy-marie","2.34405","48.8735"
"284","De Varennes","Rue De Varennes","Rue Sauval","2.3425","48.8619"
"285","Vivienne","Rue Vivienne","Rue Vivienne","2.33974","48.8684"
"286","De Varennes Saint Germain","Rue De Varennes-saint-germain","Rue De Varenne","2.32205","48.8544"
"287","De Vaugirard","Rue De Vaugirard","Rue De Vaugirard","2.31167","48.8428"
"288","Olivier Saint Georges","Rue Olivier-saint-georges","Rue De Châteaudun","2.33722","48.8761"
"289","De Vendôme","Rue De Vendôme","Rue Béranger","2.36375","48.8658"
"290","De Ventadour","Rue De Ventadour","Rue De Ventadour","2.33438","48.8669"
"291","De Verneuil","Rue De Verneuil","Rue De Verneuil","2.32876","48.8581"
"292","De Viarmes","Rue De Viarmes","Rue De Viarmes","2.34228","48.8628"
"293","De Vienne","Rue De Vienne","Rue De Vienne","2.32238","48.8777"
"294","De Vintimille","Rue De Vintimille","Rue De Vintimille","2.3292","48.8824"
"295","Des Oiseaux","Rue Des Oiseaux","Rue Des Oiseaux","2.36163","48.863"
"296","Des Amandiers Popincourt","Rue Des Amandiers-popincourt","Rue Du Chemin-vert","2.37639","48.8596"
"297","Des Amandiers Saint Jacques","Rue Des Amandiers-saint-jacques","Rue Laplace","2.34748","48.8473"
"298","Des Beaux Arts","Rue Des Beaux-arts","Rue Des Beaux-arts","2.33566","48.8564"
"299","Des Bernardins","Rue Des Bernardins","Rue Des Bernardins","2.3505","48.8498"
"300","Des Billettes","Rue Des Billettes","Rue Des Archives","2.3578","48.8609"
"301","Labruyère","Rue Labruyère","Rue Labruyère","2.33327","48.8796"
"302","Des Blancs Manteaux","Rue Des Blancs-manteaux","Rue Des Blancs-manteaux","2.35667","48.8592"
"303","Des Bons Enfants","Rue Des Bons-enfants","Rue Des Bons-enfants","2.33863","48.8635"
"304","Sainte Anne","Rue Sainte-anne","Rue Sainte-anne","2.33599","48.8672"
"305","Des Boulets","Rue Des Boulets","Rue Léon-frot","2.38541","48.8568"
"306","Des Bourdonnais","Rue Des Bourdonnais","Rue Des Bourdonnais","2.34412","48.8591"
"307","Des Canettes","Rue Des Canettes","Rue Des Canettes","2.33361","48.8519"
"308","Des Carmes","Rue Des Carmes","Rue Des Carmes","2.34755","48.8491"
"309","Des Colonnes","Rue Des Colonnes","Rue Des Colonnes","2.33947","48.8693"
"310","Des Coutures Saint Gervais","Rue Des Coutures-saint-gervais","Rue Des Coutures-saint-gervais","2.36202","48.8603"
"311","Des Déchargeurs","Rue Des Déchargeurs","Rue Des Déchargeurs","2.34612","48.8598"
"312","Des Deux Ecus","Rue Des Deux-ecus","Rue Berger","2.34605","48.8614"
"313","Des Deux Ponts","Rue Des Deux-ponts","Rue Des Deux-ponts","2.35638","48.8517"
"314","Des Deux Portes Saint Sauveur","Rue Des Deux-portes-saint-sauveur","Rue Dussoubs","2.34896","48.8659"
"315","Des Enfants Rouges","Rue Des Enfants-rouges","Rue Des Archives","2.3578","48.8609"
"316","Des Filles Du Calvaire","Rue Des Filles-du-calvaire","Rue Des Filles-du-calvaire","2.36596","48.8627"
"317","Bleue","Rue Bleue","Rue Bleue","2.34528","48.8758"
"318","Des Filles Saint Thomas","Rue Des Filles-saint-thomas","Rue Des Filles-saint-thomas","2.33906","48.8689"
"319","Jouffroy","Passage Jouffroy","Passage Jouffroy","2.34214","48.8725"
"320","Des Fossés Du Temple","Rue Des Fossés-du-temple","Rue Amelot","2.36795","48.8603"
"321","Des Fossés Montmartre","Rue Des Fossés-montmartre","Rue D' Aboukir","2.34718","48.8678"
"322","Des Fossés Saint Bernard","Rue Des Fossés-saint-bernard","Rue Des Fossés-saint-bernard","2.35447","48.8482"
"323","Des Fossés Saint Marcel","Rue Des Fossés-saint-marcel","Rue Des Fossés-saint-marcel","2.3561","48.8389"
"324","Des Fourneaux","Rue Des Fourneaux","Rue Falguière","2.31251","48.84"
"325","Des Fourreurs","Rue Des Fourreurs","Rue Des Halles","2.34672","48.8598"
